id,saleprice
2658,183352.42932924174
2718,208119.5123446791
2414,195311.50091761036
1989,118717.1201517299
625,180878.6795170178
333,95044.1335768723
1327,102464.81429065764
858,152774.30477495177
95,215873.26207604748
1568,182614.31246892514
2482,181749.6717723495
1364,142432.80108391214
2584,172770.29281000583
818,286031.9251109356
2673,158862.14684706728
2089,98454.96526020882
1297,181925.5763040937
790,125827.00533534668
2616,195441.50371367275
720,204703.3782335536
222,140894.31138121185
557,138113.90250893775
1148,212615.97559831652
2766,154124.25296248135
534,213795.06167899654
1452,127713.39477155311
630,103517.32966254151
2648,106616.52103106887
125,161260.33153963846
1904,23471.656073615886
1670,117804.61914104922
756,98161.54219203058
717,238217.61044531746
1032,149440.53335403453
852,232099.27768769767
1731,193796.47256271436
2639,110756.21620860905
2071,76756.6034802479
1267,98960.12504130264
1851,222167.83017178962
567,169541.40717443847
2439,216046.4461204782
1898,155098.46854075906
647,139388.31771239836
2256,227802.84442412434
979,88517.17352983472
1444,222339.01050732867
2485,114651.44873948838
157,124708.14466415346
88,124411.52911136043
2003,107662.31761017616
186,225652.51110080967
1425,277084.79468782793
2695,122758.21317705221
738,94369.64819966338
395,168636.06732292578
1353,185891.08911205304
1878,141722.54945590557
390,195846.1483049672
1456,239108.9596525511
1103,304220.87349360937
1387,121085.68187259429
2070,136328.28588127368
1199,197063.55703540635
2479,179655.00775537023
501,299944.951579722
2362,72631.22452979593
1718,195655.41045342584
2188,33220.50324171223
1483,152606.49806616642
2557,75456.30753718805
437,293628.7397454366
2224,189756.39221813902
1628,178315.89025973633
397,139345.68134017813
587,202216.14728831418
971,108838.15128680342
2611,152052.54698409396
1887,90322.1717465506
2399,306182.42773768783
2148,225996.35320367292
304,134385.1902575742
1997,122779.20951720781
2817,106250.54822183796
1431,185458.25912511034
427,334371.64548433723
263,130246.86463157705
598,179196.77783892374
2895,260360.51521692204
687,173688.1210866922
1822,129055.9935519899
2191,92039.35558829224
179,142983.54963842547
1009,222936.6988005261
2010,123472.96029061766
1991,151036.10549839225
1411,160589.99268459133
1721,260299.7776670669
1144,195161.10618616478
593,236260.4264747894
575,280652.70439675904
1249,184705.90235523193
1604,119914.42420845339
1064,371554.6724627869
1923,164121.3673722354
1988,103845.44901834009
2325,170911.9097645745
114,215550.04055096558
2700,226095.22172344557
217,139174.78861988173
343,193070.26337388495
386,249945.35213827726
2005,92470.9225680657
2908,131265.1759625259
1814,225914.99898387934
2446,398299.6179265416
208,148371.97358815873
1679,133190.2399719417
822,304957.74569119245
6,192013.7466992397
1781,355527.1606841275
2397,264892.53436363174
2340,286596.6913399786
1618,178111.91436561733
2843,124780.37310301058
1061,322618.38043183985
2786,124435.41277369158
1935,125192.09510889475
1341,110854.04533407115
521,298321.5647537728
2136,135574.44892765547
996,188836.7552443447
227,137844.6017880137
135,166621.8715478161
1167,177449.36553303723
294,219326.5812838066
1776,230556.56339064392
540,200333.5630800774
1717,195655.41045342584
2303,123828.24691890273
116,193945.86520921788
127,123948.48492281162
1371,135300.68008180393
1014,171867.6783977265
1507,84931.19942370686
702,159295.83959703508
750,177358.59367608943
261,160266.09732097038
1559,66195.25035694009
577,234097.9934364747
2812,216801.7697805378
2080,167251.3400693467
1368,124895.17363740748
2376,113744.58417812816
659,103726.66997852246
1235,133261.97636911692
332,69529.77508384513
1917,146488.69368803164
2094,248665.7530571866
1460,280096.5895902406
1471,204010.12405497022
1509,115896.18760794972
1922,129949.87367466872
433,386794.44216400746
460,270520.6455537019
1116,268004.31402991887
1137,178911.54333721544
53,200790.14653842675
2354,240441.4783219985
1475,222819.76642481599
1761,445138.0562499588
842,140961.89193577704
2739,184086.6676434382
2509,186233.73896972253
1007,206130.0561241113
2610,181880.05741117825
1952,84656.25615284953
2719,207162.90366599557
2921,89248.23814134288
1966,138326.13836317253
292,98663.92671715887
1204,207764.09218676423
1829,240995.56072522036
2419,198837.26945960487
391,174569.9108017697
798,126126.97615859075
481,197139.12292920914
193,200626.22634672408
555,124547.60604785522
899,39545.294079323765
2357,201794.73892540985
328,123623.38028896821
1356,122630.88883995323
1154,110414.21420059563
1730,176307.01005279587
2249,154451.83787782257
1119,263825.6314127323
2856,130127.03179201018
1394,129152.8555252183
2587,129009.90825829061
61,309522.74621375266
2661,207273.37225209503
2711,149192.15129600558
1147,187394.15098803875
757,135856.60987589462
2623,67857.2615393945
2378,170757.67869664496
1413,152212.7741104348
1722,240055.47073276865
1112,210778.9732405683
1623,190090.22160275746
1201,195559.9584008311
1513,99351.16653045476
957,255876.40660450712
1171,271704.55190805334
1145,209178.63141716085
2726,240661.83058973553
703,170682.11365377286
760,66542.94193698186
1964,131972.85594675317
2512,196622.515783277
159,161817.61196554592
1281,171847.8255399036
468,175858.0352145728
290,133570.4142169687
665,114624.9188492879
1463,277516.9072223912
1792,231294.91396003368
923,134562.19362490717
500,266584.81916332606
1408,146169.02129456482
331,67124.496868607
170,93609.80389206426
2192,83756.84902602085
2571,279782.7696023445
2314,170758.44116692164
2647,102284.33890819759
422,343456.60852076544
2457,318657.35862937744
1838,216810.55627751257
2805,259408.47263018077
1645,183708.68660550658
1711,276389.90862642427
2825,244248.29431448842
322,320199.04617426044
2103,279639.07348409726
342,141771.86964048818
600,106658.99076682865
488,196158.58728152583
1725,303328.20381496625
2246,256698.73852393532
2847,149614.25782082696
806,249465.42982331372
530,233956.11664417852
963,198363.18290513812
2678,61084.20630727988
171,65700.77739871282
2401,336581.97013987217
805,221368.29594356974
2259,198900.81803673587
1748,179491.22739818855
1361,154412.43121681956
1677,140175.86496767087
1406,155210.6316068092
2322,221052.08548264555
688,172561.87150288653
143,145826.37162369827
804,203356.5779311324
1214,174878.26134239463
2828,155644.01114118204
1999,196148.52949091548
2467,211821.91248723608
2665,184549.27270566334
1538,316765.742081236
398,112331.37380116468
2822,133732.26570486638
2157,152243.5408506788
1856,179334.53941509174
1269,89197.19506476517
2570,119456.36586421425
2320,254262.54139324406
1517,158871.60226176702
2304,114164.67131336778
1312,86512.12334933574
2012,144857.52467996033
506,221754.2252601256
2865,199493.00786022807
2367,125430.13757286896
554,107314.74358906329
238,148994.37454578
1954,120793.10688489384
2488,156606.9420789742
2291,81286.01942516025
1969,87795.09759950114
2725,159801.6959620393
1482,152606.49806616642
2763,212447.78313836607
503,237080.05926289933
1584,242730.25658506143
1531,146495.33995475306
2210,188556.08982870576
459,306383.41827187047
556,139364.29665691708
1347,160663.45857147407
1290,82490.03996167507
1388,94657.04639262508
1571,188506.18615094596
2754,222495.87567702192
765,139525.32698394917
2494,129083.9405549051
2870,185505.51247359056
7,241013.12660558603
1114,241694.21815841866
2418,270959.4688752751
291,123457.61858203076
18,294735.42347126955
39,308125.0865569968
1001,255645.16057061532
2442,232105.9600358205
616,110978.42597107589
2680,40762.697064026026
1414,125843.88463469269
289,142363.81787185534
40,273030.1227792365
860,132382.14548912982
409,160935.28480080364
673,162973.3565079706
2427,200370.19148059178
2036,211402.49395213765
2564,132968.2663258944
642,189777.76271009957
1008,182163.90099681937
1908,155316.1717531184
2519,216465.90100320883
1369,104292.4827191087
2855,169361.4462787765
712,100715.30282878212
1943,89551.90171986388
1958,139492.52301265288
107,182972.03449215845
2295,179748.74305622233
704,95297.79928372824
676,129147.89822430059
259,188113.55404768523
93,277423.36445787747
106,246323.358665445
2315,187187.24721658078
1050,111871.5127154463
1095,197133.22064334434
2709,143886.62808349135
758,161514.79689978482
1496,167160.0530692708
2370,149952.86976129166
2458,261238.1135869607
2733,118445.47482868657
161,252361.7295703647
726,159768.16804531938
845,230060.75172284187
947,260680.8640171158
2232,115554.41241120454
2563,154815.73695824412
2299,131892.9021579225
211,85156.38911092666
605,201916.1005134473
1478,230868.81401638442
2247,258901.13267874846
2274,191884.47884859925
2869,190271.1259108216
967,224540.22419977677
2656,98694.13841294788
667,243107.87720859738
1042,134644.38660899515
2023,163264.0789025101
2447,331895.333605497
2055,130683.17462588637
2275,278696.8974077882
2204,169752.5130462806
1563,256781.55673912435
483,222700.19400668982
796,135187.70064050425
1526,158309.79813873803
2042,167992.85480686463
442,310148.0797804919
1693,281812.052934121
1468,218015.92444220267
1430,189117.24285581557
2605,157227.075520903
1529,200268.6296643475
335,144785.6347057079
1287,134626.7361293194
31,111674.39945082879
1785,259824.86179495498
82,174693.42321191076
2620,130829.35628337879
252,223085.85191543878
721,35730.80394962628
2165,192721.36766837793
2316,176042.72994170478
775,132254.63541284204
